EMPLOYEE_ID,EMPLOYEE_NAME,DESIGNATION,DEPARTMENT,EMAIL,PHONE,REGION,COUNTRY,JOIN_DATE,STATUS,PROFILE_IMAGE,DISPLAY_COLOR,OLD_EMPLOYEE_CODE,LEGACY_EMPLOYEE_ID,EXPORT_FLAG,CACHE_KEY,TEMP_FLAG,ICON_NAME,REPORT_GROUP,MIGRATION_BATCH
EMP00011,Sneha Verma,Executive,HR,sneha.verma@hoj.com,+919952618037,Asia-East,UK,2020-07-25,ON_LEAVE,emp_11.jpg,#FF6B6B,OLD11,11,1,emp_11,1,user_icon,GROUP5,BATCH_2026
EMP00012,Sneha Reddy,Assistant,Inventory,sneha.reddy@hoj.com,+918782469612,Americas,Singapore,2025-02-18,INACTIVE,emp_12.jpg,#45B7D1,OLD12,12,1,emp_12,1,user_icon,GROUP3,BATCH_2023
EMP00013,Deepika Singh,Assistant,Inventory,deepika.singh@hoj.com,+919712431852,Middle East,India,2025-03-28,INACTIVE,emp_13.jpg,#4ECDC4,OLD13,13,0,emp_13,0,user_icon,GROUP10,BATCH_2021
EMP00014,Priya Reddy,Analyst,Customer Service,priya.reddy@hoj.com,+916005268290,Asia-East,UK,2024-11-20,ACTIVE,emp_14.jpg,#FF6B6B,OLD14,14,0,emp_14,0,user_icon,GROUP3,BATCH_2022
EMP00015,Mohit Reddy,Director,Customer Service,mohit.reddy@hoj.com,+918365055974,Americas,India,2021-10-06,INACTIVE,emp_15.jpg,#FF6B6B,OLD15,15,0,emp_15,0,user_icon,GROUP8,BATCH_2025
EMP00016,Sneha Gupta,Director,Customer Service,sneha.gupta@hoj.com,+919487386035,Middle East,UAE,2022-05-16,INACTIVE,emp_16.jpg,#45B7D1,OLD16,16,0,emp_16,1,user_icon,GROUP8,BATCH_2021
EMP00017,Arjun Reddy,Manager,HR,arjun.reddy@hoj.com,+916735304045,Middle East,India,2020-10-06,ON_LEAVE,emp_17.jpg,#45B7D1,OLD17,17,1,emp_17,0,user_icon,GROUP8,BATCH_2026
EMP00018,Arjun Sharma,Executive,Operations,arjun.sharma@hoj.com,,Americas,USA,2023-09-10,ON_LEAVE,emp_18.jpg,#4ECDC4,OLD18,18,1,emp_18,1,user_icon,GROUP2,BATCH_2024
EMP00019,Priya Singh,Supervisor,Sales,priya.singh@hoj.com,+917335946120,Asia-East,UAE,2025-10-15,ACTIVE,emp_19.jpg,#4ECDC4,OLD19,19,0,emp_19,0,user_icon,GROUP6,BATCH_2025
EMP00020,Mohit Verma,Store Manager,HR,mohit.verma@hoj.com,+917501862867,Middle East,UK,2024-12-26,INACTIVE,emp_20.jpg,#45B7D1,OLD20,20,1,emp_20,1,user_icon,GROUP8,BATCH_2025
EMP00021,Deepika Sharma,Executive,Finance,deepika.sharma@hoj.com,+918851566647,Middle East,USA,2021-07-17,ACTIVE,emp_21.jpg,#FF6B6B,OLD21,21,0,emp_21,0,user_icon,GROUP3,BATCH_2025
EMP00022,Mohit Gupta,Director,Sales,mohit.gupta@hoj.com,+916145428752,Americas,UAE,2025-01-13,INACTIVE,emp_22.jpg,#FF6B6B,OLD22,22,0,emp_22,1,user_icon,GROUP5,BATCH_2022
EMP00023,Mohit Gupta,Executive,Finance,mohit.gupta@hoj.com,+919127474170,Middle East,India,2021-04-14,INACTIVE,emp_23.jpg,#FF6B6B,OLD23,23,1,emp_23,0,user_icon,GROUP7,BATCH_2022
EMP00024,Neha Gupta,Store Manager,IT,neha.gupta@hoj.com,+916453787151,Americas,UK,2025-12-01,ACTIVE,emp_24.jpg,#4ECDC4,OLD24,24,0,emp_24,0,user_icon,GROUP6,BATCH_2026
EMP00025,Deepika Patel,Supervisor,HR,deepika.patel@hoj.com,+917537090362,Asia-South,UAE,2025-11-22,ACTIVE,emp_25.jpg,#4ECDC4,OLD25,25,1,emp_25,1,user_icon,GROUP3,BATCH_2021
EMP00026,Neha Desai,Manager,Customer Service,neha.desai@hoj.com,+918191768408,Asia-East,Singapore,2026-02-09,ACTIVE,emp_26.jpg,#4ECDC4,OLD26,26,1,emp_26,1,user_icon,GROUP6,BATCH_2025
EMP00027,Neha Verma,Analyst,Customer Service,neha.verma@hoj.com,+918524576408,Americas,Singapore,2024-01-27,ACTIVE,emp_27.jpg,#45B7D1,OLD27,27,1,emp_27,0,user_icon,GROUP2,BATCH_2021
EMP00028,Sneha Verma,Store Manager,Operations,sneha.verma@hoj.com,+916617406562,Europe,India,2021-11-04,INACTIVE,emp_28.jpg,#45B7D1,OLD28,28,1,emp_28,0,user_icon,GROUP10,BATCH_2024
EMP00029,Anjali Singh,Manager,Customer Service,anjali.singh@hoj.com,,Asia-East,UK,2021-06-03,ACTIVE,emp_29.jpg,#4ECDC4,OLD29,29,0,emp_29,0,user_icon,GROUP2,BATCH_2024
EMP00030,Sneha Gupta,Executive,IT,,+918901655357,Europe,UK,2025-11-25,ACTIVE,emp_30.jpg,#45B7D1,OLD30,30,1,emp_30,1,user_icon,GROUP7,BATCH_2022
EMP00031,Priya Sharma,Assistant,Customer Service,,+919066688869,Americas,USA,2025-12-01,ON_LEAVE,emp_31.jpg,#4ECDC4,OLD31,31,1,emp_31,1,user_icon,GROUP10,BATCH_2026
EMP00032,"Sneha Reddy,extra",Executive,Finance,,+917831483751,Europe,Singapore,2025-02-02,ACTIVE,emp_32.jpg,#FF6B6B,OLD32,32,1,emp_32,1,user_icon,GROUP9,BATCH_2021
EMP00033,Arjun Nair,Manager,Sales,arjun.nair@hoj.com,+916180068201,Middle East,USA,2022-12-13,ON_LEAVE,emp_33.jpg,#FF6B6B,OLD33,33,0,emp_33,1,user_icon,GROUP7,BATCH_2022
EMP00034,Amit Joshi,Assistant,Operations,amit.joshi@hoj.com,+917412893704,Americas,Singapore,2020-07-06,INACTIVE,emp_34.jpg,#4ECDC4,OLD34,34,1,emp_34,1,user_icon,GROUP7,BATCH_2025
EMP00035,Vikram Desai,Store Manager,Sales,vikram.desai@hoj.com,+916763788880,Middle East,India,2026-05-02,INACTIVE,emp_35.jpg,#45B7D1,OLD35,35,1,emp_35,1,user_icon,GROUP10,BATCH_2022
EMP00036,Anjali Desai,Executive,HR,anjali.desai@hoj.com,+919739639437,Europe,UK,2022-01-01,INACTIVE,emp_36.jpg,#4ECDC4,OLD36,36,1,emp_36,0,user_icon,GROUP8,BATCH_2024
EMP00037,Amit Desai,Coordinator,Finance,amit.desai@hoj.com,+916201389878,Asia-East,Singapore,2022-07-05,ON_LEAVE,emp_37.jpg,#4ECDC4,OLD37,37,0,emp_37,1,user_icon,GROUP2,BATCH_2022
EMP00038,Mohit Patel,Assistant,Sales,,+917747695981,Asia-East,Singapore,2021-10-26,ACTIVE,emp_38.jpg,#45B7D1,OLD38,38,0,emp_38,1,user_icon,GROUP6,BATCH_2021
EMP00039,Arjun Reddy,Store Manager,IT,arjun.reddy@hoj.com,+919822021838,Asia-South,UAE,2025-03-01,ON_LEAVE,emp_39.jpg,#FF6B6B,OLD39,39,1,emp_39,0,user_icon,GROUP8,BATCH_2022
EMP00040,Sneha Patel,Analyst,Finance,sneha.patel@hoj.com,+919832691082,Middle East,USA,2024-06-20,ON_LEAVE,emp_40.jpg,#4ECDC4,OLD40,40,1,emp_40,1,user_icon,GROUP6,BATCH_2022
EMP00041,Sneha Gupta,Executive,Finance,sneha.gupta@hoj.com,+919829023446,Asia-East,USA,2025-11-18,ACTIVE,emp_41.jpg,#45B7D1,OLD41,41,1,emp_41,1,user_icon,GROUP5,BATCH_2024
EMP00042,Mohit Joshi,Assistant,HR,mohit.joshi@hoj.com,,Americas,Singapore,2025-03-20,ON_LEAVE,emp_42.jpg,#45B7D1,OLD42,42,1,emp_42,1,user_icon,GROUP6,BATCH_2025
EMP00043,Mohit Patel,Store Manager,Inventory,mohit.patel@hoj.com,+916197754928,Americas,Australia,2023-08-03,ACTIVE,emp_43.jpg,#4ECDC4,OLD43,43,1,emp_43,0,user_icon,GROUP10,BATCH_2025
EMP00044,Mohit Reddy,Assistant,IT,mohit.reddy@hoj.com,+917168653734,Asia-South,UK,2022-01-24,ACTIVE,emp_44.jpg,#45B7D1,OLD44,44,0,emp_44,0,user_icon,GROUP8,BATCH_2022
EMP00045,Mohit Singh,Coordinator,Sales,mohit.singh@hoj.com,+919930834134,Asia-East,Australia,2025-05-05,ACTIVE,emp_45.jpg,#4ECDC4,OLD45,45,1,emp_45,1,user_icon,GROUP3,BATCH_2024
EMP00046,Vikram Gupta,Store Manager,Sales,vikram.gupta@hoj.com,+916860416529,Europe,USA,2021-04-06,INACTIVE,emp_46.jpg,#4ECDC4,OLD46,46,1,emp_46,1,user_icon,GROUP4,BATCH_2025
EMP00047,Sneha Singh,Supervisor,Inventory,sneha.singh@hoj.com,+918113133731,Asia-South,UK,2020-09-11,ON_LEAVE,emp_47.jpg,#45B7D1,OLD47,47,1,emp_47,0,user_icon,GROUP6,BATCH_2022
EMP00048,Anjali Singh,Assistant,Finance,anjali.singh@hoj.com,+919898088221,Asia-East,UK,2023-07-03,ON_LEAVE,emp_48.jpg,#45B7D1,OLD48,48,1,emp_48,1,user_icon,GROUP4,BATCH_2025
EMP00049,Rajesh Gupta,Director,Sales,rajesh.gupta@hoj.com,+916705955747,Americas,UAE,2025-01-26,INACTIVE,emp_49.jpg,#FF6B6B,OLD49,49,0,emp_49,0,user_icon,GROUP6,BATCH_2023
EMP00050,Neha Sharma,Coordinator,Inventory,neha.sharma@hoj.com,+917186935793,Asia-South,Australia,2024-11-19,ACTIVE,emp_50.jpg,#4ECDC4,OLD50,50,0,emp_50,1,user_icon,GROUP8,BATCH_2023
EMP00051,Arjun Reddy,Assistant,Finance,arjun.reddy@hoj.com,+918552207861,Americas,India,2022-10-16,INACTIVE,emp_51.jpg,#45B7D1,OLD51,51,0,emp_51,0,user_icon,GROUP7,BATCH_2021
EMP00052,Sneha Kumar,Supervisor,Customer Service,sneha.kumar@hoj.com,+918390110723,Americas,Singapore,2022-12-23,ACTIVE,emp_52.jpg,#45B7D1,OLD52,52,0,emp_52,1,user_icon,GROUP6,BATCH_2026
EMP00053,Rajesh Verma,Assistant,Operations,rajesh.verma@hoj.com,+918008673769,Europe,UAE,2026-05-06,ACTIVE,emp_53.jpg,#4ECDC4,OLD53,53,1,emp_53,1,user_icon,GROUP1,BATCH_2022
EMP00054,Priya Desai,Director,Customer Service,priya.desai@hoj.com,+916910432250,Asia-South,Australia,2021-11-26,ON_LEAVE,emp_54.jpg,#4ECDC4,OLD54,54,1,emp_54,0,user_icon,GROUP5,BATCH_2026
EMP00055,Deepika Gupta,Coordinator,Sales,deepika.gupta@hoj.com,+918733205089,Asia-South,UK,2025-02-19,ON_LEAVE,emp_55.jpg,#4ECDC4,OLD55,55,0,emp_55,0,user_icon,GROUP9,BATCH_2022
EMP00056,Amit Singh,Assistant,Customer Service,amit.singh@hoj.com,+916266464900,Asia-South,Australia,2024-06-30,ACTIVE,emp_56.jpg,#FF6B6B,OLD56,56,1,emp_56,1,user_icon,GROUP6,BATCH_2024
EMP00057,Vikram Patel,Coordinator,Sales,vikram.patel@hoj.com,+919703413321,Asia-East,USA,2026-01-14,ON_LEAVE,emp_57.jpg,#FF6B6B,OLD57,57,1,emp_57,0,user_icon,GROUP5,BATCH_2021
EMP00058,Vikram Kumar,Manager,HR,vikram.kumar@hoj.com,+919517783886,Asia-South,Singapore,2022-08-19,INACTIVE,emp_58.jpg,#45B7D1,OLD58,58,0,emp_58,1,user_icon,GROUP9,BATCH_2025
EMP00059,Priya Reddy,Store Manager,Inventory,priya.reddy@hoj.com,+919637916030,Asia-East,Australia,2023-11-07,ACTIVE,emp_59.jpg,#45B7D1,OLD59,59,0,emp_59,0,user_icon,GROUP2,BATCH_2021
EMP00060,Neha Reddy,Director,Sales,neha.reddy@hoj.com,+916799430858,Middle East,India,2026-02-10,ON_LEAVE,emp_60.jpg,#4ECDC4,OLD60,60,0,emp_60,1,user_icon,GROUP6,BATCH_2021
EMP00061,Neha Nair,Manager,IT,neha.nair@hoj.com,+918769392895,Americas,UAE,2021-11-17,ON_LEAVE,emp_61.jpg,#45B7D1,OLD61,61,1,emp_61,0,user_icon,GROUP4,BATCH_2022
EMP00062,Arjun Kumar,Executive,Inventory,arjun.kumar@hoj.com,+919663728431,Asia-East,Australia,2026-05-06,INACTIVE,emp_62.jpg,#45B7D1,OLD62,62,1,emp_62,1,user_icon,GROUP5,BATCH_2026
EMP00063,Amit Sharma,Store Manager,IT,amit.sharma@hoj.com,+919905817533,Middle East,Australia,2024-06-28,ACTIVE,emp_63.jpg,#FF6B6B,OLD63,63,1,emp_63,1,user_icon,GROUP8,BATCH_2024
EMP00064,Sneha Nair,Supervisor,Customer Service,sneha.nair@hoj.com,+919339236403,Europe,Singapore,2025-09-06,INACTIVE,emp_64.jpg,#45B7D1,OLD64,64,1,emp_64,0,user_icon,GROUP4,BATCH_2024
EMP00065,Vikram Verma,Assistant,IT,vikram.verma@hoj.com,+916329631622,Asia-East,India,2024-05-06,ON_LEAVE,emp_65.jpg,#4ECDC4,OLD65,65,1,emp_65,1,user_icon,GROUP7,BATCH_2024
EMP00066,Priya Nair,Executive,IT,priya.nair@hoj.com,+918211040658,Asia-South,Australia,2025-11-15,ACTIVE,emp_66.jpg,#45B7D1,OLD66,66,1,emp_66,0,user_icon,GROUP4,BATCH_2026
EMP00067,Priya Desai,Analyst,Inventory,,+916022919645,Middle East,Singapore,2021-01-06,INACTIVE,emp_67.jpg,#FF6B6B,OLD67,67,1,emp_67,1,user_icon,GROUP2,BATCH_2021
EMP00068,Anjali Gupta,Store Manager,HR,anjali.gupta@hoj.com,+916151552229,Americas,UAE,2025-09-04,INACTIVE,emp_68.jpg,#FF6B6B,OLD68,68,1,emp_68,0,user_icon,GROUP6,BATCH_2021
EMP00069,Sneha Reddy,Manager,Customer Service,sneha.reddy@hoj.com,+919007830570,Americas,USA,2024-02-24,ON_LEAVE,emp_69.jpg,#FF6B6B,OLD69,69,0,emp_69,1,user_icon,GROUP2,BATCH_2024
EMP00070,Priya Verma,Assistant,Finance,priya.verma@hoj.com,+919917465933,Asia-South,USA,2020-12-12,ON_LEAVE,emp_70.jpg,#45B7D1,OLD70,70,1,emp_70,0,user_icon,GROUP6,BATCH_2023
EMP00071,Mohit Desai,Coordinator,Inventory,mohit.desai@hoj.com,+918207377806,Americas,Singapore,2024-09-07,INACTIVE,emp_71.jpg,#45B7D1,OLD71,71,0,emp_71,1,user_icon,GROUP6,BATCH_2023
EMP00072,Deepika Desai,Analyst,Sales,deepika.desai@hoj.com,+916058452637,Americas,India,2024-05-15,ON_LEAVE,emp_72.jpg,#4ECDC4,OLD72,72,0,emp_72,0,user_icon,GROUP3,BATCH_2023
EMP00073,Priya Patel,Assistant,Inventory,priya.patel@hoj.com,+919577957536,Asia-East,USA,2024-09-17,ON_LEAVE,emp_73.jpg,#FF6B6B,OLD73,73,0,emp_73,1,user_icon,GROUP5,BATCH_2024
EMP00074,Amit Joshi,Manager,Sales,amit.joshi@hoj.com,+917004399991,Americas,UK,2021-11-25,ON_LEAVE,emp_74.jpg,#4ECDC4,OLD74,74,1,emp_74,1,user_icon,GROUP4,BATCH_2026
EMP00075,Deepika Patel,Director,Finance,deepika.patel@hoj.com,+919939598901,Europe,UAE,2025-12-15,ACTIVE,emp_75.jpg,#4ECDC4,OLD75,75,1,emp_75,1,user_icon,GROUP6,BATCH_2021
EMP00076,Deepika Singh,Director,HR,deepika.singh@hoj.com,+917657902833,Middle East,USA,2022-11-12,ON_LEAVE,emp_76.jpg,#45B7D1,OLD76,76,1,emp_76,0,user_icon,GROUP8,BATCH_2026
EMP00077,Neha Verma,Store Manager,Customer Service,neha.verma@hoj.com,+918812161849,Europe,USA,2023-12-09,ACTIVE,emp_77.jpg,#45B7D1,OLD77,77,0,emp_77,0,user_icon,GROUP6,BATCH_2024
EMP00078,Anjali Patel,Supervisor,Inventory,anjali.patel@hoj.com,+919251943059,Asia-East,Australia,2021-11-26,ON_LEAVE,emp_78.jpg,#FF6B6B,OLD78,78,1,emp_78,0,user_icon,GROUP8,BATCH_2021
EMP00079,Neha Gupta,Analyst,Operations,,+916650994855,Europe,Singapore,2022-10-05,INACTIVE,emp_79.jpg,#FF6B6B,OLD79,79,0,emp_79,1,user_icon,GROUP2,BATCH_2026
EMP00080,Arjun Patel,Director,IT,arjun.patel@hoj.com,+919201350655,Americas,UK,2021-03-26,INACTIVE,emp_80.jpg,#45B7D1,OLD80,80,1,emp_80,1,user_icon,GROUP9,BATCH_2022
EMP00081,Rajesh Kumar,Director,HR,rajesh.kumar@hoj.com,+919442088925,Middle East,UAE,2024-02-08,ON_LEAVE,emp_81.jpg,#4ECDC4,OLD81,81,0,emp_81,0,user_icon,GROUP6,BATCH_2026
EMP00082,Priya Gupta,Manager,Customer Service,priya.gupta@hoj.com,+917303953627,Europe,USA,2024-02-11,ACTIVE,emp_82.jpg,#45B7D1,OLD82,82,0,emp_82,1,user_icon,GROUP6,BATCH_2026
EMP00083,Amit Gupta,Supervisor,Finance,amit.gupta@hoj.com,+919931350989,Europe,Singapore,2024-05-02,INACTIVE,emp_83.jpg,#45B7D1,OLD83,83,0,emp_83,0,user_icon,GROUP4,BATCH_2024
EMP00084,Rajesh Gupta,Assistant,Customer Service,rajesh.gupta@hoj.com,+918026943428,Asia-South,Australia,2021-12-06,ON_LEAVE,emp_84.jpg,#45B7D1,OLD84,84,0,emp_84,1,user_icon,GROUP4,BATCH_2024
EMP00085,Anjali Verma,Manager,Finance,anjali.verma@hoj.com,+919996338564,Europe,India,2023-03-21,INACTIVE,emp_85.jpg,#4ECDC4,OLD85,85,1,emp_85,1,user_icon,GROUP6,BATCH_2021
EMP00086,Vikram Gupta,Assistant,Sales,vikram.gupta@hoj.com,+916904285831,Americas,Singapore,2024-02-20,ON_LEAVE,emp_86.jpg,#FF6B6B,OLD86,86,0,emp_86,1,user_icon,GROUP4,BATCH_2023
EMP00087,Amit Joshi,Store Manager,Inventory,amit.joshi@hoj.com,+919571962571,Americas,Singapore,2023-01-10,ACTIVE,emp_87.jpg,#4ECDC4,OLD87,87,1,emp_87,0,user_icon,GROUP4,BATCH_2025
EMP00088,Neha Joshi,Supervisor,Sales,neha.joshi@hoj.com,,Americas,USA,2020-09-15,INACTIVE,emp_88.jpg,#FF6B6B,OLD88,88,1,emp_88,1,user_icon,GROUP7,BATCH_2023
EMP00089,Anjali Singh,Manager,Finance,anjali.singh@hoj.com,+918873778891,Americas,UK,2023-03-28,INACTIVE,emp_89.jpg,#4ECDC4,OLD89,89,0,emp_89,1,user_icon,GROUP2,BATCH_2022
EMP00090,Arjun Reddy,Director,Customer Service,arjun.reddy@hoj.com,+919626073193,Americas,USA,2021-08-17,ON_LEAVE,emp_90.jpg,#45B7D1,OLD90,90,0,emp_90,1,user_icon,GROUP10,BATCH_2024
EMP00091,Priya Desai,Store Manager,Finance,priya.desai@hoj.com,+919821171663,Europe,USA,2023-07-18,INACTIVE,emp_91.jpg,#4ECDC4,OLD91,91,1,emp_91,1,user_icon,GROUP7,BATCH_2021
EMP00092,Mohit Gupta,Assistant,Inventory,mohit.gupta@hoj.com,+919990399496,Europe,UK,2022-12-15,ACTIVE,emp_92.jpg,#FF6B6B,OLD92,92,1,emp_92,1,user_icon,GROUP3,BATCH_2022
EMP00093,Priya Reddy,Coordinator,Sales,,+919163430796,Asia-East,USA,2021-01-15,ACTIVE,emp_93.jpg,#4ECDC4,OLD93,93,1,emp_93,1,user_icon,GROUP7,BATCH_2025
EMP00094,Arjun Singh,Store Manager,IT,arjun.singh@hoj.com,+917544803987,Asia-South,Singapore,2021-06-21,INACTIVE,emp_94.jpg,#FF6B6B,OLD94,94,1,emp_94,0,user_icon,GROUP3,BATCH_2026
EMP00095,Priya Sharma,Coordinator,Customer Service,priya.sharma@hoj.com,+919124402282,Asia-East,Australia,2022-06-04,ACTIVE,emp_95.jpg,#45B7D1,OLD95,95,1,emp_95,0,user_icon,GROUP10,BATCH_2024
EMP00096,Arjun Patel,Director,Inventory,arjun.patel@hoj.com,+918456873084,Asia-East,UK,2023-04-22,INACTIVE,emp_96.jpg,#45B7D1,OLD96,96,0,emp_96,0,user_icon,GROUP7,BATCH_2026
EMP00097,Deepika Joshi,Coordinator,Sales,deepika.joshi@hoj.com,+916598216832,Middle East,Australia,2025-06-21,ON_LEAVE,emp_97.jpg,#45B7D1,OLD97,97,1,emp_97,1,user_icon,GROUP1,BATCH_2023
EMP00098,Sneha Nair,Store Manager,Finance,sneha.nair@hoj.com,+918199815491,Asia-East,Australia,2022-01-12,ON_LEAVE,emp_98.jpg,#FF6B6B,OLD98,98,0,emp_98,0,user_icon,GROUP5,BATCH_2024
EMP00099,Sneha Sharma,Analyst,Customer Service,sneha.sharma@hoj.com,+919588256543,Europe,India,2022-12-25,ON_LEAVE,emp_99.jpg,#45B7D1,OLD99,99,1,emp_99,1,user_icon,GROUP10,BATCH_2024
EMP00100,Neha Patel,Manager,Operations,neha.patel@hoj.com,+916040472195,Europe,Australia,2026-02-14,ON_LEAVE,emp_100.jpg,#45B7D1,OLD100,100,1,emp_100,1,user_icon,GROUP1,BATCH_2026
EMP00101,Priya Sharma,Coordinator,Finance,priya.sharma@hoj.com,+918557549865,Asia-South,India,2023-11-10,ON_LEAVE,emp_101.jpg,#45B7D1,OLD101,101,1,emp_101,0,user_icon,GROUP4,BATCH_2025
EMP00102,Arjun Patel,Supervisor,Sales,arjun.patel@hoj.com,+917652938129,Asia-East,USA,2022-02-07,ON_LEAVE,emp_102.jpg,#4ECDC4,OLD102,102,1,emp_102,0,user_icon,GROUP3,BATCH_2023
EMP00103,Rajesh Gupta,Store Manager,Sales,rajesh.gupta@hoj.com,+917559902109,Middle East,Singapore,2026-03-04,ON_LEAVE,emp_103.jpg,#FF6B6B,OLD103,103,1,emp_103,1,user_icon,GROUP9,BATCH_2025
EMP00104,Vikram Reddy,Director,Finance,vikram.reddy@hoj.com,+919085980724,Americas,India,2025-02-12,INACTIVE,emp_104.jpg,#FF6B6B,OLD104,104,1,emp_104,1,user_icon,GROUP6,BATCH_2026
EMP00105,Vikram Reddy,Analyst,Finance,vikram.reddy@hoj.com,,Europe,UAE,2021-05-07,ACTIVE,emp_105.jpg,#4ECDC4,OLD105,105,1,emp_105,1,user_icon,GROUP4,BATCH_2023
EMP00106,Arjun Joshi,Supervisor,Finance,,+919508153055,Asia-East,UK,2024-05-19,ON_LEAVE,emp_106.jpg,#FF6B6B,OLD106,106,1,emp_106,0,user_icon,GROUP10,BATCH_2024
EMP00107,Amit Gupta,Analyst,Operations,amit.gupta@hoj.com,+918716858557,Asia-South,India,2021-08-27,ACTIVE,emp_107.jpg,#FF6B6B,OLD107,107,1,emp_107,1,user_icon,GROUP1,BATCH_2021
EMP00108,Rajesh Verma,Director,Inventory,rajesh.verma@hoj.com,+916162221850,Europe,UAE,2026-03-21,INACTIVE,emp_108.jpg,#FF6B6B,OLD108,108,0,emp_108,1,user_icon,GROUP7,BATCH_2024
EMP00109,Arjun Kumar,Supervisor,Sales,arjun.kumar@hoj.com,+917564939173,Asia-East,USA,2023-03-01,ON_LEAVE,emp_109.jpg,#FF6B6B,OLD109,109,0,emp_109,0,user_icon,GROUP10,BATCH_2026
EMP00110,Sneha Nair,Coordinator,Sales,sneha.nair@hoj.com,+916307506717,Americas,Singapore,2023-03-15,ON_LEAVE,emp_110.jpg,#45B7D1,OLD110,110,0,emp_110,0,user_icon,GROUP9,BATCH_2023
EMP00111,Sneha Reddy,Executive,Inventory,sneha.reddy@hoj.com,+916855012652,Asia-South,USA,2021-11-12,ACTIVE,emp_111.jpg,#FF6B6B,OLD111,111,1,emp_111,1,user_icon,GROUP7,BATCH_2023
EMP00112,Deepika Sharma,Store Manager,Sales,deepika.sharma@hoj.com,+919950683194,Middle East,UAE,2022-10-29,ON_LEAVE,emp_112.jpg,#4ECDC4,OLD112,112,0,emp_112,0,user_icon,GROUP2,BATCH_2021
EMP00113,Priya Nair,Supervisor,Inventory,,+917390513546,Asia-East,India,2024-01-14,INACTIVE,emp_113.jpg,#45B7D1,OLD113,113,1,emp_113,1,user_icon,GROUP5,BATCH_2023
EMP00114,Sneha Desai,Coordinator,IT,sneha.desai@hoj.com,+917825105324,Europe,UK,2023-08-17,ON_LEAVE,emp_114.jpg,#4ECDC4,OLD114,114,0,emp_114,0,user_icon,GROUP6,BATCH_2025
EMP00115,Vikram Verma,Executive,Customer Service,vikram.verma@hoj.com,+919484185899,Asia-East,UAE,2021-03-14,ON_LEAVE,emp_115.jpg,#45B7D1,OLD115,115,0,emp_115,1,user_icon,GROUP3,BATCH_2026
EMP00116,Vikram Gupta,Manager,IT,vikram.gupta@hoj.com,+918776795409,Americas,India,2023-01-03,ACTIVE,emp_116.jpg,#4ECDC4,OLD116,116,0,emp_116,1,user_icon,GROUP2,BATCH_2025
EMP00117,Mohit Patel,Manager,Inventory,mohit.patel@hoj.com,+918324902711,Middle East,UAE,2024-12-07,INACTIVE,emp_117.jpg,#FF6B6B,OLD117,117,0,emp_117,1,user_icon,GROUP9,BATCH_2021
